Year;XDT-1;KLS-1;XSH-1;XSH-2;QSH-1;QSH-2;QSH-3;CM2;WD1;WD2;FH1;KXL1;TGB1;TG1;TEM1;TM1;AMD1;AD1;KM2;BD1;CM3;CM5;CM6;CM7;WD3;WD4;HR3;FH2;FH3;YM1;WL1;WL3;KL1;KL3;TT1;WQ1;WQ2;TG2;TG3;TG4;TJ1;TJ2;AD2;BL1;BL2;BL3;BL4;BL5;BL6;BL7;BL8;BL9;BL10;BL11;BL12
2001;-0.68;-2.46;-1.55;-1.36;-0.49;-1.23;-0.47;####;-1.32;-2.13;-3.55;-0.93;-1.28;####;-1;####;####;####;-3.16;-0.65;-1.23;-1.25;-0.95;-0.51;-1.61;-2.64;-1.27;-2.25;-0.68;-0.47;-0.76;-1.24;-0.73;-0.75;####;-0.14;-0.39;####;-1.17;####;-0.26;-0.09;-0.19;-0.26;-0.44;-0.62;-0.46;-0.45;-0.61;-0.32;-1.58;-1.49;-0.36;-0.9;-1.45
2002;-0.69;-2.48;-1.54;-1.37;-0.49;-1.22;-0.49;####;-1.31;-2.16;-3.61;-0.92;-1.24;####;-0.97;####;####;####;-3.19;-0.64;-1.22;-1.27;-0.93;-0.48;-1.63;-2.67;-1.24;-2.31;-0.69;-0.45;-0.75;-1.21;-0.74;-0.74;####;-0.13;-0.41;####;-1.17;####;-0.26;-0.1;-0.17;-0.26;-0.44;-0.62;-0.46;-0.44;-0.61;-0.32;-1.58;-1.49;-0.35;-0.92;-1.45
2003;-0.66;-2.44;-1.63;-1.35;-0.48;-1.23;-0.49;####;-1.32;-2.11;-3.49;-0.92;-1.26;####;-0.99;####;####;####;-3.13;-0.65;-1.23;-1.24;-0.94;-0.5;-1.59;-2.61;-1.26;-2.19;-0.67;-0.46;-0.73;-1.08;-0.72;-0.75;####;-0.13;-0.38;####;-1.15;####;-0.26;-0.09;-0.18;-0.25;-0.43;-0.61;-0.44;-0.43;-0.58;-0.31;-1.55;-1.47;-0.36;-0.9;-1.42
2004;-0.7;-2.49;-1.65;-1.36;-0.49;-1.23;-0.46;####;-1.32;-2.18;-3.65;-0.93;-1.23;####;-0.99;####;####;####;-3.21;-0.64;-1.22;-1.26;-0.93;-0.48;-1.65;-2.68;-1.24;-2.29;-0.68;-0.45;-0.71;-1;-0.75;-0.73;####;-0.12;-0.42;####;-1.15;####;-0.25;-0.1;-0.16;-0.25;-0.42;-0.6;-0.43;-0.42;-0.58;-0.31;-1.53;-1.47;-0.35;-0.88;-1.39
2005;-0.69;-2.48;-1.66;-1.37;-0.49;-1.23;-0.45;####;-1.3;-2.16;-3.61;-0.92;-1.22;####;-0.97;####;####;####;-3.19;-0.63;-1.22;-1.25;-0.92;-0.47;-1.63;-2.67;-1.23;-2.23;-0.68;-0.44;-0.69;-0.87;-0.74;-0.73;####;-0.12;-0.41;####;-1.18;####;-0.25;-0.09;-0.15;-0.24;-0.4;-0.58;-0.41;-0.39;-0.56;-0.3;-1.53;-1.47;-0.34;-0.87;-1.37
2006;-0.65;-2.43;-1.63;-1.34;-0.47;-1.18;-0.46;####;-1.26;-2.07;-3.41;-0.89;-1.18;####;-0.93;####;####;####;-3.1;-0.61;-1.21;-1.24;-0.91;-0.44;-1.56;-2.56;-1.21;-2.16;-0.67;-0.43;-0.64;-0.5;-0.71;-0.73;####;-0.09;-0.36;####;-1.15;####;-0.25;-0.09;-0.09;-0.23;-0.37;-0.56;-0.38;-0.36;-0.53;-0.28;-1.5;-1.45;-0.33;-0.86;-1.33
2007;-0.62;-2.38;-1.61;-1.32;-0.45;-1.15;-0.47;####;-1.23;-2.04;-3.34;-0.86;-1.13;####;-0.91;####;####;####;-3.07;-0.6;-1.2;-1.22;-0.9;-0.43;-1.53;-2.53;-1.2;-2.09;-0.67;-0.42;-0.63;-0.5;-0.7;-0.72;####;-0.1;-0.33;####;-1.14;####;-0.2;-0.08;-0.08;-0.19;-0.35;-0.54;-0.36;-0.34;-0.5;-0.25;-1.47;-1.42;-0.32;-0.83;-1.29
2008;-0.62;-2.38;-1.61;-1.32;-0.45;-1.16;-0.46;####;-1.22;-2.01;-3.24;-0.87;-1.14;####;-0.88;####;####;####;-3.03;-0.6;-1.2;-1.21;-0.89;-0.42;-1.51;-2.52;-1.17;-2.02;-0.66;-0.4;-0.63;-0.5;-0.69;-0.71;####;-0.09;-0.32;####;-1.16;####;-0.2;-0.07;-0.08;-0.2;-0.35;-0.53;-0.35;-0.32;-0.5;-0.26;-1.46;-1.41;-0.31;-0.83;-1.28
2009;-0.62;-2.36;-1.62;-1.33;-0.46;-1.13;-0.46;####;-1.21;-2;-3.23;-0.87;-1.08;####;-0.86;####;####;####;-3.01;-0.59;-1.2;-1.19;-0.88;-0.4;-1.5;-2.51;-1.15;-1.97;-0.65;-0.39;-0.63;-0.49;-0.68;-0.7;####;-0.08;-0.3;####;-1.16;####;-0.2;-0.07;-0.08;-0.2;-0.35;-0.53;-0.35;-0.32;-0.49;-0.26;-1.46;-1.41;-0.3;-0.85;-1.27
2010;-0.59;-2.34;-1.62;-1.32;-0.45;-1.11;-0.46;####;-1.19;-1.98;-3.18;-0.88;-1.07;####;-0.84;####;####;####;-2.99;-0.58;-1.19;-1.18;-0.87;-0.38;-1.48;-2.49;-1.13;-1.92;-0.64;-0.37;-0.63;-0.49;-0.67;-0.7;####;-0.08;-0.29;####;-1.13;####;-0.2;-0.06;-0.08;-0.19;-0.34;-0.53;-0.35;-0.32;-0.47;-0.26;-1.44;-1.39;-0.3;-0.85;-1.26
2011;-0.57;-2.32;-1.61;-1.31;-0.44;-1.1;-0.46;####;-1.17;-1.96;-3.16;-0.87;-1.06;####;-0.81;####;####;####;-2.98;-0.58;-1.19;-1.17;-0.86;-0.37;-1.47;-2.46;-1.11;-1.85;-0.63;-0.36;-0.61;-0.48;-0.66;-0.69;####;-0.08;-0.28;####;-1.15;####;-0.2;-0.05;-0.08;-0.18;-0.32;-0.51;-0.33;-0.3;-0.46;-0.25;-1.42;-1.38;-0.28;-0.83;-1.23
2012;-0.57;-2.3;-1.61;-1.31;-0.43;-1.09;-0.46;####;-1.16;-1.94;-3.17;-0.86;-1.06;####;-0.81;####;####;####;-2.97;-0.57;-1.19;-1.16;-0.85;-0.36;-1.46;-2.44;-1.09;-1.79;-0.62;-0.33;-0.61;-0.48;-0.65;-0.68;####;-0.08;-0.28;####;-1.19;####;-0.2;-0.05;-0.07;-0.18;-0.32;-0.5;-0.33;-0.3;-0.44;-0.25;-1.41;-1.37;-0.28;-0.83;-1.21
